entropy,numDigits,urlLength,numParams,hasHttp,hasHttps,urlIsLive,bodyLength,numTitles,numImages,numLinks,scriptLength,specialChars,ext,dsr,dse,sscr,sbr,bscr,num_%20,num_@,has_ip,Class
-4.174007338,5,79,0,TRUE,FALSE,FALSE,47461,12,15,74,5696,10606,org,0,0,0.537054497,0.120014328,0.223467689,0,0,0,normal_url
-4.58575813,16,161,1,TRUE,FALSE,FALSE,24466,5,2,45,4143,6133,html?_r1&pagewantedprintoctober,0,0,0.675525844,0.169337039,0.250674405,0,0,0,normal_url
-3.615817595,0,27,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-4.646836075,11,66,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,html#ixzz0hqhr4kmx&a,0,0,0,0,0,0,0,0,normal_url
-4.537475475,6,53,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,htmi,0,0,0,0,0,0,0,0,normal_url
-4.454504784,6,78,0,TRUE,FALSE,FALSE,24199,1,9,114,12148,6405,com,0,0,1.896643247,0.502004215,0.264680359,0,0,0,normal_url
-4.114066203,0,37,0,TRUE,FALSE,FALSE,15699,3,16,475,1073,2765,xml,0,0,0.388065099,0.068348302,0.176125868,0,0,0,normal_url
-4.066323289,10,58,0,TRUE,FALSE,FALSE,1233,0,9,4,132,329,html,0,0,0.401215805,0.107055961,0.266828873,0,0,0,normal_url
-4.594173435,15,101,0,TRUE,FALSE,FALSE,20430,1,0,13,14352,4928,shtml?tagstackjanuary,0,0,2.912337662,0.702496329,0.241213901,0,0,0,normal_url
-4.413863157,16,61,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,normal_url
-4.494890413,16,83,3,TRUE,FALSE,FALSE,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,normal_url
-4.429529778,16,62,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,normal_url
-4.373131513,16,65,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,normal_url
-4.475229281,8,63,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,htmlday,0,0,0,0,0,0,0,0,normal_url
-4.505431231,8,116,0,TRUE,FALSE,FALSE,119404,7,10,153,38557,28934,com,0,0,1.332584503,0.32291213,0.24232019,0,0,0,normal_url
-4.51997668,3,52,0,TRUE,FALSE,FALSE,603772,0,0,14,599393,113372,thank-you,0,0,5.286957979,0.992747262,0.187772868,0,0,0,normal_url
-4.68637277,9,102,0,TRUE,FALSE,FALSE,119412,7,10,153,38565,28934,com,0,0,1.332860994,0.322957492,0.242303956,0,0,0,normal_url
-4.614245026,8,84,0,TRUE,FALSE,FALSE,119412,7,10,153,38565,28934,com,0,0,1.332860994,0.322957492,0.242303956,0,0,0,normal_url
-4.565078451,7,87,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,aspxseptember,0,0,0,0,0,0,0,0,normal_url
-4.583173135,16,131,0,TRUE,FALSE,FALSE,157002,1,5,45,136644,40423,com,0,0,3.380352769,0.870332862,0.257468058,0,0,0,normal_url
-4.31234555,16,57,0,TRUE,FALSE,FALSE,157002,1,5,45,136644,40423,com,0,0,3.380352769,0.870332862,0.257468058,0,0,0,normal_url
-3.606936732,0,22,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,com)the,0,0,0,0,0,0,0,0,normal_url
-4.441988837,5,101,0,TRUE,FALSE,FALSE,75872,5,0,149,48109,16422,com,0,0,2.929545731,0.634081084,0.216443484,0,0,0,normal_url
-4.655994779,10,94,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,php#morexr07:hi!!ary,0,0,0,0,0,0,0,0,normal_url
-4.244375809,14,54,0,TRUE,FALSE,FALSE,175178,21,1,120,172519,49595,com,0,0,3.478556306,0.984821153,0.283112035,0,0,0,normal_url
-4.563063298,8,145,0,TRUE,FALSE,FALSE,119412,7,10,153,38565,28934,com,0,0,1.332860994,0.322957492,0.242303956,0,0,0,normal_url
-4.50915894,7,59,0,TRUE,FALSE,FALSE,949,1,2,7,707,224,com,0,0,3.15625,0.744994731,0.236037935,0,0,0,normal_url
-3.902174814,0,26,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,comurl,0,0,0,0,0,0,0,0,normal_url
-4.666266935,7,58,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,com,0,0,0,0,0,0,0,0,normal_url
-4.385277459,11,68,0,TRUE,FALSE,FALSE,254,1,1,1,0,56,html[2],0,0,0,0,0.220472441,0,0,0,normal_url
-4.504393128,8,68,0,TRUE,FALSE,FALSE,353,0,0,0,288,83,302053[3],0,0,3.469879518,0.815864023,0.235127479,0,0,0,normal_url
-4.475260635,11,59,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,il,0,0,0,0,0,0,0,0,normal_url
-4.581105483,6,101,0,TRUE,FALSE,FALSE,4919,0,1,2,174,1307,uk,0,0,0.133129304,0.035373043,0.265704411,0,0,0,normal_url
-4.603193029,8,86,0,TRUE,FALSE,FALSE,86557,1,2,35,24585,16878,com,0,0,1.456629932,0.284032487,0.194992895,0,0,0,normal_url
-4.749197813,18,120,0,TRUE,FALSE,FALSE,26624,2,7,179,20438,7237,com,0,0,2.824098383,0.767653245,0.271822416,0,0,0,normal_url
-4.423236858,8,116,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-4.306732207,6,46,0,TRUE,FALSE,FALSE,51839,11,8,127,7265,10944,com,0,0,0.663834064,0.14014545,0.211115184,0,0,0,normal_url
-4.231058232,6,39,0,TRUE,FALSE,FALSE,51839,11,8,127,7265,10944,com,0,0,0.663834064,0.14014545,0.211115184,0,0,0,normal_url
-4.155639062,3,32,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,com,0,0,0,0,0,0,0,0,normal_url
-4.42717074,2,78,0,TRUE,FALSE,FALSE,1738,0,0,1,1726,442,uk,0,0,3.904977376,0.993095512,0.254315305,1,0,0,normal_url
-4.556247679,8,79,0,TRUE,FALSE,FALSE,119412,7,10,153,38565,28934,com,0,0,1.332860994,0.322957492,0.242303956,0,0,0,normal_url
-4.93749369,35,124,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-4.789012399,18,99,4,TRUE,FALSE,FALSE,0,0,0,0,0,0,ng,0,0,0,0,0,0,0,0,normal_url
-3.614369446,0,18,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,dou,0,0,0,0,0,0,0,0,normal_url
-4.922862589,37,104,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,6.66409E+11,0,0,0,0,0,0,0,0,normal_url
-4.897370417,37,127,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-5.102313585,60,251,6,TRUE,FALSE,FALSE,0,0,0,0,0,0,"4;abrlie4;abrlie5;sz120x600;ordzobmbzbfzndnngnupsw?""&gt;",0,0,0,0,0,0,0,0,normal_url
-4.96018628,39,121,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,"4;abrlie4;abrlie5;sz120x600;ordzobmbzbfzndnngnupsw""",0,0,0,0,0,0,0,0,normal_url
-4.429980736,8,117,1,TRUE,FALSE,FALSE,33,1,0,0,0,4,1,0,0,0,0,0.121212121,0,0,0,normal_url
-4.457715342,8,119,0,TRUE,FALSE,FALSE,20784,6,3,72,10310,6039,com,0,0,1.707236297,0.496054657,0.290560046,0,0,0,normal_url
-4.387350459,4,78,0,TRUE,FALSE,FALSE,38127,12,13,71,3808,8067,org,0,0,0.47204661,0.099876728,0.211582343,0,0,0,normal_url
-4.426962453,6,114,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,com,0,0,0,0,0,0,0,0,normal_url
-5.112848698,57,260,7,TRUE,FALSE,FALSE,0,0,0,0,0,0,"ngitypeclick&amp;flight1d143552&amp;adld165203&amp;targetld42700&amp;values3263&amp;redirect;ordbnzdlpybfzocfybnvaqg?""&gtalt;",0,0,0,0,0,0,0,0,normal_url
-4.379417497,0,49,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,ng,0,0,0,0,0,0,0,0,normal_url
-4.060262039,0,27,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-5.037264562,37,119,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,6.66409E+11,0,0,0,0,0,0,0,0,normal_url
-4.749142747,6,95,0,TRUE,FALSE,FALSE,196626,69,92,206,44349,44970,html?viewprintmarch,0,0,0.986190794,0.225550029,0.228708309,0,0,0,normal_url
-4.233574049,12,53,0,TRUE,FALSE,FALSE,31198,3,0,170,7409,7800,htm,0,0,0.949871795,0.237483172,0.250016027,0,0,0,normal_url
-4.309176951,6,69,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,com,0,0,0,0,0,0,0,0,normal_url
-4.531760898,8,126,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,htmlamericans,0,0,0,0,0,0,0,0,normal_url
-3.74832866,2,26,0,TRUE,FALSE,FALSE,2857,1,2,4,529,898,ly,0,0,0.58908686,0.185159258,0.314315716,0,0,0,normal_url
-3.787143961,1,19,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,ms,0,0,0,0,0,0,0,0,normal_url
-4.208410187,2,27,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,ms,0,0,0,0,0,0,0,0,normal_url
-3.594465637,0,21,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,gov),0,0,0,0,0,0,0,0,normal_url
-3.84385619,0,25,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,govand,0,0,0,0,0,0,0,0,normal_url
-3.70804815,0,27,0,TRUE,FALSE,FALSE,85716,1,1,6,81733,21903,com,0,0,3.73158928,0.953532596,0.255529889,0,0,0,normal_url
-4.242313637,1,51,0,TRUE,FALSE,FALSE,31198,3,0,170,7409,7800,gov,0,0,0.949871795,0.237483172,0.250016027,0,0,0,normal_url
-4.171474188,0,41,0,TRUE,FALSE,FALSE,67,0,0,0,0,17,-,0,0,0,0,0.253731343,0,0,0,normal_url
-4.226566669,6,54,0,TRUE,FALSE,FALSE,35682,3,0,170,11912,9007,htm),0,0,1.322526924,0.333837789,0.252424191,0,0,0,normal_url
-4.351358961,6,58,0,TRUE,FALSE,FALSE,35682,3,0,170,11912,9007,"htm)""new",0,0,1.322526924,0.333837789,0.252424191,0,0,0,normal_url
-4.171465262,0,31,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,like,0,0,0,0,0,0,0,0,normal_url
-4.354248671,4,60,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,comi2o12,0,0,0,0,0,0,0,0,normal_url
-4.41671684,8,109,0,TRUE,FALSE,FALSE,119412,7,10,153,38565,28934,com,0,0,1.332860994,0.322957492,0.242303956,0,0,0,normal_url
-4.130621191,6,70,0,TRUE,FALSE,FALSE,17829,3,4,124,16112,5488,com,0,0,2.935860058,0.903696225,0.307813113,0,0,0,normal_url
-4.440060184,7,133,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,com,0,0,0,0,0,0,0,0,normal_url
-4.367326964,7,93,0,TRUE,FALSE,FALSE,644974,353,320,889,41926,145409,ecefrom,0,0,0.288331534,0.065004171,0.225449398,0,0,0,normal_url
-4.534862581,6,90,0,TRUE,FALSE,FALSE,4919,0,1,2,174,1307,uk,0,0,0.133129304,0.035373043,0.265704411,0,0,0,normal_url
-3.930270372,0,27,0,TRUE,FALSE,FALSE,6923,10,0,20,5211,1902,com,0,0,2.739747634,0.752708363,0.274736386,0,0,0,normal_url
-4.180154864,14,54,0,TRUE,FALSE,FALSE,175178,21,1,120,172519,49595,com,0,0,3.478556306,0.984821153,0.283112035,0,0,0,normal_url
-4.468387631,8,83,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,htmleurope's,0,0,0,0,0,0,0,0,normal_url
-4.485793217,9,100,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,htmlb6eitwhat,0,0,0,0,0,0,0,0,normal_url
-4.485787734,13,66,0,TRUE,FALSE,FALSE,14782,0,9,236,8313,3834,article,0,0,2.168231612,0.562373157,0.259369503,0,0,0,normal_url
-4.781705696,55,176,0,TRUE,FALSE,FALSE,19,0,0,0,0,3,shtmljackiepress,0,0,0,0,0.157894737,0,0,0,normal_url
-4.617822806,6,91,0,TRUE,FALSE,FALSE,246839,104,90,297,30102,56127,htmloupaul,0,0,0.536319418,0.121949935,0.227383031,0,0,0,normal_url
